"","tree_id","tree_code","fp_tree_id","fp_species_name","fp_species_id","fp_genus_name","fp_genus_id","fp_family_name","fp_family_apg_id","sub_plot_code","plot_code","csp_site","csp_tree_code","csp_species","csp_family","csp_full_name","csp_taxon_info","dbh_latest","census_date_latest"
"7778",7948,"T694",637377,"Clusia elliptica",124519,"Clusia",8717,"Clusiaceae",350,"19","SPD-01",NA,NA,NA,NA,NA,NA,0,"2011"
"7779",10087,"T694",1063061,"Vismia gracilis",618724,"Vismia",8796,"Hypericaceae",283,"20","SPD-02",NA,NA,NA,NA,NA,NA,278,"2009.033"
"7780",12801,"T694",635885,"Ocotea indet",642945,"Ocotea",14636,"Lauraceae",374,"21","TRU-04",NA,NA,NA,NA,NA,NA,280,"2011.575"
"7781",13859,"T694",633677,"Prunus integrifolia",504565,"Prunus",23140,"Rosaceae",397,"15","WAY-01",NA,NA,NA,NA,NA,NA,176,"2011.896"
"7782",695,"T695",1106077,"Clethra cuneata",123323,"Clethra",8686,"Clethraceae",147,"20","ACJ-01",NA,NA,NA,NA,NA,NA,304,"2014.2"
"7783",1553,"T695",634964,"Cyathea indet",650340,"Cyathea",22031,"Cyatheaceae",470,"25","ESP-01",NA,NA,NA,NA,NA,NA,188,"2011.915"
"7784",3400,"T695",1106485,"Senefeldera inclinata",552637,"Senefeldera",10888,"Euphorbiaceae",415,"9","PAN-02",NA,NA,NA,NA,NA,NA,173,"2013.241"
"7785",7949,"T695",637378,"Viburnum hallii",615203,"Viburnum",8103,"Adoxaceae",240,"19","SPD-01",NA,NA,NA,NA,NA,NA,255,"2011.808"
"7786",10088,"T695",1063062,"Cecropia angustifolia",103372,"Cecropia",8315,"Urticaceae",378,"20","SPD-02",NA,NA,NA,NA,NA,NA,141,"2009.033"
"7787",12802,"T695",635886,"Clusia indet",637026,"Clusia",8717,"Clusiaceae",350,"21","TRU-04",NA,NA,NA,NA,NA,NA,152,"2011.575"
"7788",13860,"T695",633678,"Prunus integrifolia",504565,"Prunus",23140,"Rosaceae",397,"15","WAY-01",NA,NA,NA,NA,NA,NA,196,"2011.896"
"7789",696,"T696",1106078,"Clethra cuneata",123323,"Clethra",8686,"Clethraceae",147,"20","ACJ-01",NA,NA,NA,NA,NA,NA,526,"2014.2"
"7790",1554,"T696",634965,"Persea indet",642953,"Persea",14644,"Lauraceae",374,"25","ESP-01",NA,NA,NA,NA,NA,NA,160,"2011.915"
"7791",3401,"T696",1106486,"Pseudolmedia rigida",505752,"Pseudolmedia",16601,"Moraceae",364,"9","PAN-02","PAN-02","T696","laevigata","Moraceae","Pseudolmedia laevigata","Trecul",329,"2013.241"
"7792",7950,"T696",637379,"Viburnum hallii",615203,"Viburnum",8103,"Adoxaceae",240,"19","SPD-01",NA,NA,NA,NA,NA,NA,208,"2011.808"
"7793",10089,"T696",1063063,"Heliocarpus americanus",290333,"Heliocarpus",26230,"Malvaceae",418,"20","SPD-02","SPD-02","T696","americanus","Malvaceae","Heliocarpus americanus","L.",271,"2009.033"
"7794",12803,"T696",635887,"Weinmannia bangii",621938,"Weinmannia",9498,"Cunoniaceae",347,"21","TRU-04","TRU-04","T696","bangii","Cunoniaceae","Weinmannia bangii","Rusby",560,"2011.575"
"7795",13861,"T696",633679,"Myrsine coriacea",424739,"Myrsine",16744,"Primulaceae",288,"15","WAY-01",NA,NA,NA,NA,NA,NA,124,"2011.896"
"7796",697,"T697",1106079,"Symplocos baehnii",579814,"Symplocos",26001,"Symplocaceae",124,"20","ACJ-01",NA,NA,NA,NA,NA,NA,192,"2014.2"
"7797",1555,"T697",634966,"Weinmannia bangii",621938,"Weinmannia",9498,"Cunoniaceae",347,"25","ESP-01",NA,NA,NA,NA,NA,NA,462,"2011.915"
"7798",3402,"T697",1106487,"Inga capitata",319872,"Inga",11884,"Fabaceae",423,"9","PAN-02",NA,NA,NA,NA,NA,NA,193,"2013.241"
"7799",7951,"T697",637380,"Viburnum hallii",615203,"Viburnum",8103,"Adoxaceae",240,"19","SPD-01",NA,NA,NA,NA,NA,NA,214,"2011.808"
"7800",10090,"T697",1063064,"Ampelocera edentula",25288,"Ampelocera",26311,"Ulmaceae",266,"20","SPD-02",NA,NA,NA,NA,NA,NA,224,"2009.033"
"7801",12804,"T697",635888,"Clusia indet",637026,"Clusia",8717,"Clusiaceae",350,"21","TRU-04",NA,NA,NA,NA,NA,NA,265,"2011.575"
"7802",13862,"T697",633680,"Clusia flaviflora",124531,"Clusia",8717,"Clusiaceae",350,"15","WAY-01",NA,NA,NA,NA,NA,NA,405,"2011.896"
"7803",13137,"T697.2.A",636221,"Clusia indet",637026,"Clusia",8717,"Clusiaceae",350,"21","TRU-04",NA,NA,NA,NA,NA,NA,116,"2011.575"
"7804",13044,"T697A",636128,"Cyathea delgadii",146888,"Cyathea",22031,"Cyatheaceae",470,"21","TRU-04",NA,NA,NA,NA,NA,NA,114,"2011.575"
"7805",698,"T698",1106080,"Symplocos baehnii",579814,"Symplocos",26001,"Symplocaceae",124,"20","ACJ-01","ACJ-01","T698","baehnii","Symplocaceae","Symplocos baehnii","J.F. Macbr.",363,"2014.2"
"7806",1556,"T698",634967,"Clusia trochiformis",124742,"Clusia",8717,"Clusiaceae",350,"25","ESP-01",NA,NA,NA,NA,NA,NA,239,"2011.915"
