"","Plot","Mean Lower","Mean Mean","Mean Upper","Variance Lower","Variance Mean","Variance Upper","Skewness Lower","Skewness Mean","Skewness Upper","Kurtosis Lower","Kurtosis Mean","Kurtosis Upper"
"1","SPD-01","0.481491287622082","0.482630107094445","0.483694452839136","0.000993373555087297","0.00106966749135224","0.00115254710725339","-0.804321987052461","-0.492639829944525","-0.100421187404462","6.28721233480752","7.19699039467592","8.99819969369242"
"2","TAM-06","0.469719708343864","0.471660474536632","0.473673663252334","0.00166982817190975","0.00187441114356028","0.00211450608329271","0.0643651552161831","0.490429486822385","0.941770452896821","3.74035866756552","5.48300435304074","7.90841686459013"
"3","ACJ-01","0.483205410326628","0.484634159601078","0.486071446924015","0.000783345321850439","0.000846372537810155","0.000913394965482873","-0.385051323681449","-0.226632162479797","-0.0870005580097801","2.28553279464779","2.59614363035363","3.14031268927061"
"4","ESP-01","0.492835576318454","0.493775814202851","0.494672891635336","0.000548686613961448","0.000603388262403477","0.000657161902725404","-0.840037139555365","-0.622833684867585","-0.41416595171687","3.77638615236935","4.29513821881714","5.15972825526479"
"5","PAN-02","0.492243388275961","0.493627870540484","0.495138837899915","0.00090599039312285","0.00100715103634106","0.00112689286112987","-0.544352106157346","-0.160837994473749","0.465274855369651","3.18754855359453","4.4117868834962","8.18418712623878"
"6","PAN-03","0.485777550836303","0.487368026007861","0.48910622120414","0.00104977225448689","0.00118790012118791","0.0013498182888556","-0.277341181747691","0.176551133382649","0.858446236639159","3.23367938605204","5.08672800293753","9.19380428309943"
"7","SPD-02","0.48481645444602","0.486290867566025","0.487840310455","0.000955484577357971","0.00108534231803701","0.00123542454950365","-0.324029595948332","0.278214113903476","0.978124752769978","4.69248403945773","7.32710807610901","11.3959809619471"
"8","TRU-04","0.489141030603226","0.490148101274673","0.491063835883189","0.000703894872046143","0.00074953369639735","0.000797489485100717","-0.0394216582399889","0.0972028395388535","0.216878538768498","2.26017431322003","2.51913401528786","2.99463998355033"
"9","WAY-01","0.481350829795925","0.482499078961955","0.483624475451549","0.000622733450531441","0.000670333376001077","0.000718332390550906","-0.174153917070819","-0.0139531098906566","0.13429748922554","2.83719770448016","3.14767307452081","3.65998377778906"
"10","TAM-05","0.481057218774365","0.483197339805332","0.485497235288421","0.0022737488253261","0.00259357809090588","0.00293006417390144","0.538510995986777","0.890185916471339","1.23626944542379","5.09671817678675","6.27424549827178","7.71972990017574"
