"","plot_code","mean_c_percent","var_c_percent","mean_n_percent","var_n_percent","mean_p_percent","var_p_percent","mean_c13_delta","var_c13_percent","mean_lma_lamina_petiole","var_lma_lamina_petiole","min_lma_lamina_petiole","max_lma_lamina_petiole","mean_sla_lamina_petiole","var_sla_lamina_petiole","min_sla_lamina_petiole","max_sla_lamina_petiole"
"1","ACJ-01",47.5866666666667,9.10909965635739,2.33692307692308,0.235124504361618,0.11308126984127,0.00133725076271358,-28.6703832752613,3.08062327915986,175.470991480841,6343.58143126731,57.045186172,441.841610273,0.00685647987936508,8.77409713555451e-06,0.0022632545,0.0175299629
"2","ESP-01",48.9539759036145,9.93529212502183,2.15156626506024,0.255015656830219,0.103485740402194,0.00178781942999109,-29.2206831119545,3.96293641460018,139.206220739795,1758.56643639909,38.625141813,254.1716523655,0.00793799259232176,7.77422400875043e-06,0.0039343491,0.0258898726
"3","PAN-02",50.9042345276873,8.71321730429414,2.62638436482085,0.367896361584808,0.0884098159509202,0.00108057614950448,-31.3069204152249,2.35752138600538,110.906050704481,905.972084788208,45.9535105117,178.2370949683,0.00983674580466472,1.04371500873099e-05,0.0056105044,0.0217611231
"4","PAN-03",50.0292358803987,7.76934241417497,2.27142857142857,0.365980952380952,0.0810466876971609,0.00247618395260153,-30.6660377358491,3.33007320992798,80.365325916858,2827.50131890536,6.9383771045,232.1249855997,0.021927232718018,0.000341588090807028,0.004308024,0.1441259224
"5","SPD-01",48.7769960474308,10.7117414534497,2.21653543307087,0.29325661215425,0.113034142114385,0.00190708207882005,-30.0902998236332,3.38285627037099,143.368595398949,1835.77229586263,26.8998304383,258.0192411839,0.00769703614151261,8.14772314362681e-06,0.00387568,0.0371749555
"6","SPD-02",48.5886542056075,13.6258644775806,2.72635514018692,0.253817214463229,0.159793333333333,0.00311210702070393,-30.286323268206,3.20805104833663,122.134681145971,2404.51745975015,38.3450893325,472.1054553912,0.00957101589027778,1.67620999945771e-05,0.0021181708,0.0260789587
"7","TAM-05",47.6776699029126,8.93219455301979,2.33236245954693,0.349663556508217,0.0655736040609137,0.000756257418529856,-31.8089230769231,2.16421025641026,106.413557839022,788.148053085294,33.1751412434,184.9756098868,0.0101826078115299,1.06739157595835e-05,0.0054061181,0.0301430518
"8","TAM-06",NA,NA,NA,NA,0.37799,0.00522612024137931,NA,NA,106.259310554523,537.137635496131,60.1562561148,146.327884452,0.0100055854933333,8.30981150972807e-06,0.0068339675,0.0166233749
"9","TRU-04",49.8670364500792,6.94884818755817,2.17946287519747,0.371381356610075,0.139288504155125,0.00361271036696878,-29.0334246575342,3.68387440103726,143.155427725786,2889.98306864053,41.7676823281,287.9196365285,0.00810366047359249,1.11768186802795e-05,0.0034731914,0.0239419557
"10","WAY-01",48.0195652173913,5.52994308300395,2.01855072463768,0.388416801054018,0.129836697247706,0.00347851219549317,-28.52030651341,3.5236245210728,154.513468161769,3439.49405461354,2.3737440441,285.0189953165,0.0136885982690037,0.00240276934010784,0.0035085381,0.4212754119
