"","Plot","Mean Lower","Mean Mean","Mean Upper","Variance Lower","Variance Mean","Variance Upper","Skewness Lower","Skewness Mean","Skewness Upper","Kurtosis Lower","Kurtosis Mean","Kurtosis Upper"
"1","SPD-01","11.0259858282615","11.1928002695222","11.3680436957154","45.0523101459949","49.822871748874","56.9124724941835","3.1038022843055","3.41762363653385","4.16694714590065","23.343526676436","27.1688848655816","37.6121619639566"
"2","TAM-06","12.0757007001603","12.3151410597115","12.5679764410214","28.2862636197512","33.7333351635524","42.3766820380885","1.04283744135968","1.8884732529446","4.05483087292796","4.543772877489","12.9047368161503","41.2798864942857"
"3","ACJ-01","7.65999222911055","7.84148402959663","8.02834344203039","16.5846447052279","22.0508619482596","29.7879604397831","3.02995908453746","4.40503219765588","6.23298486013967","18.5026943870224","35.5106704564434","65.6288767463907"
"4","ESP-01","8.5162285173401","8.66638684324318","8.81460990290811","13.457361421106","15.4621795454446","18.8610917262397","1.40817301367755","1.89197619187315","3.80572880743505","5.5945925242509","10.5276360483113","41.1704383677968"
"5","PAN-02","12.2181231563314","12.5878755203648","12.9845098294295","69.6046934785908","85.0097552208211","109.444586051274","2.27625157444848","2.88222431526418","4.53567474323268","7.78685030022233","14.5837425187407","39.9062427258415"
"6","PAN-03","17.5351363229471","18.5254862415503","19.550103474813","212.157494309904","269.446925713815","343.7611753325","1.89980861005005","2.42592545231212","3.29196507923713","6.80006447792993","11.4680059637056","21.4576318030978"
"7","SPD-02","10.4071479142185","10.6193741661245","10.8448178381019","27.0623633083402","32.7428268833468","41.9623925869044","1.34180545024262","2.15530653567462","4.28515818923287","4.61153608717821","13.2796687087543","43.7890781587476"
"8","TRU-04","8.9992973697058","9.12155526349495","9.24322813296524","12.9467595599951","14.3836151373049","16.0985884432446","0.837984198657107","1.17515286625272","2.10309509681056","3.61276313379967","6.17961770651638","17.873189855294"
"9","WAY-01","10.7882605759506","11.9577377641515","13.2007389814239","385.115010986179","680.544567944915","1068.56653837968","6.67499594957219","8.4916828302644","10.5008162583504","54.2944748521804","93.2769227170597","149.181364080498"
"10","TAM-05","10.6060476310378","10.8428240236751","11.0973981152232","26.1140545819168","33.5056120367001","46.1319965140117","1.96115842887565","3.06040117851574","5.66638888898942","9.12616793067108","22.1303266745063","68.1813003873408"
