"","plot_i","sp_i","level_used","sample_size"
"1102","PAN-03","Guapira noxia","i","1"
"1103","SPD-02","Inga pezizifera","d","23"
"1104","PAN-02","Cecropia strigosa","d","7"
"1105","PAN-02","Cecropia distachya","d","7"
"1106","SPD-02","Coussarea ecuadorensis","e","12"
"1107","SPD-02","Styloceras brokawii",NA,"0"
"1108","TRU-04","Gaiadendron punctatum",NA,"0"
"1109","SPD-02","Garcinia madruno","f","169"
"1110","TAM-05","Casearia javitensis","h","1"
"1111","WAY-01","Schefflera indet","f","29"
"1112","PAN-02","Iryanthera juruensis","f","15"
"1113","ESP-01","Clethra cuneata","b","33"
"1114","PAN-02","Cordia mexiana","h","1"
"1115","PAN-02","Pouteria sagotiana","d","32"
"1116","SPD-02","Miconia peruviana","d","88"
"1117","SPD-02","Urera baccifera","e","40"
"1118","WAY-01","Symplocos psiloclada","d","76"
"1119","SPD-01","Myrcia mollis","i","2"
"1120","PAN-02","Pseudolmedia laevis","b","3"
"1121","PAN-03","Pourouma cuspidata","c","12"
"1122","PAN-02","Brosimum rubescens","d","10"
"1123","TRU-04","Dicksonia sellowiana",NA,"0"
"1124","SPD-02","Guatteria indet","c","18"
"1125","ESP-01","Vallea stipularis","f","42"
"1126","PAN-02","Cordia ulei","h","1"
"1127","PAN-02","Iriartea deltoidea",NA,"0"
"1128","PAN-03","Schefflera morototoni","f","29"
"1129","PAN-03","Lacmellea peruviana","f","15"
"1130","PAN-03","Tetragastris panamensis","f","12"
"1131","PAN-03","Mollinedia lanceolata","b","18"
"1132","PAN-03","Aniba panurensis","e","8"
"1133","SPD-02","Ampelocera edentula","h","1"
"1134","PAN-02","Guarea indet","d","9"
"1135","SPD-02","Hasseltia floribunda","i","3"
"1136","WAY-01","Hesperomeles indet","c","6"
"1137","PAN-02","Myrcia minutiflora","i","2"
"1138","PAN-03","Palicourea guianensis","e","27"
"1139","TAM-06","Aspidosperma tambopatense","f","15"
"1140","PAN-02","Sloanea robusta","d","42"
"1141","PAN-02","Pourouma cecropiifolia","c","27"
"1142","PAN-02","Ormosia indet","e","11"
"1143","PAN-02","Inga capitata","c","11"
"1144","PAN-02","Micropholis egensis","d","18"
"1145","PAN-02","Cybianthus timanae","f","83"
"1146","SPD-02","Miconia astroplocama","d","88"
"1147","TRU-04","Plinia indet","i","2"
"1148","PAN-02","Sloanea sinemariensis","b","6"
"1149","SPD-02","Guettarda crispiflora","e","12"
"1150","PAN-02","Quararibea wittii","f","23"
"1151","SPD-02","Nectandra lineata","c","9"
"1152","SPD-02","Inga indet","b","12"
"1153","PAN-02","Warszewiczia coccinea","f","76"
"1154","SPD-01","Virola sebifera","b","15"
"1155","PAN-02","Chrysophyllum manaosense","d","18"
"1156","SPD-01","Psychotria indet","e","16"
"1157","PAN-02","Sloanea obtusifolia","d","42"
"1158","SPD-02","Dendropanax weberbaueri","d","10"
"1159","PAN-02","Tachigali poeppigiana","d","36"
"1160","SPD-01","Clethra revoluta","d","33"
"1161","SPD-01","Meliosma boliviensis","c","6"
"1162","SPD-01","Ilex nervosa","c","15"
"1163","PAN-02","Machaerium duckeanum","e","11"
"1164","PAN-02","Faramea torquata","b","18"
"1165","PAN-02","Guatteria duodecima","d","35"
"1166","SPD-02","Urera caracasana","e","40"
"1167","PAN-02","Sloanea meianthera","b","18"
"1168","TAM-06","Clarisia biflora","d","5"
"1169","PAN-02","Annona ambotay","f","35"
"1170","PAN-02","Protium spruceanum","d","12"
"1171","SPD-02","Gordonia fruticosa","b","27"
"1172","SPD-02","Faramea bangii","d","18"
"1173","TAM-06","Casearia ulmifolia","h","1"
"1174","PAN-02","Alchornea brittonii","d","70"
"1175","SPD-02","Pouteria torta","b","32"
"1176","SPD-01","Ladenbergia indet","e","16"
"1177","SPD-02","Hedyosmum cuatrecazanum","b","11"
"1178","SPD-02","Cestrum indet","i","1"
"1179","PAN-02","Licania indet","d","18"
"1180","TAM-05","Ampelocera edentula","h","1"
"1181","PAN-02","Pouteria krukovii","d","32"
"1182","SPD-01","Myrcia aliena","i","2"
"1183","SPD-02","Chomelia tenuiflora","e","12"
"1184","PAN-02","Pachira trinitensis","f","23"
"1185","SPD-02","Citronella incarum",NA,"0"
"1186","PAN-02","Couepia obovata","f","36"
"1187","PAN-02","Inga nobilis","c","11"
"1188","PAN-02","Eugenia florida","g","1"
"1189","PAN-02","Sloanea terniflora","d","42"
"1190","ESP-01","Prunus debilis","b","15"
"1191","PAN-03","Sloanea rufa","c","42"
"1192","SPD-01","Myrcia paivae","i","2"
"1193","TAM-06","Inga marginata","d","23"
"1194","PAN-03","Talisia cerasina","i","2"
"1195","PAN-02","Toulicia reticulata","i","2"
"1196","PAN-02","Zapoteca amazonica","e","11"
"1197","PAN-02","Eschweilera albiflora","d","12"
"1198","PAN-02","Simaba paraensis","i","1"
"1199","SPD-02","Eugenia florida","g","1"
"1200","PAN-02","Pourouma indet","c","27"
"1201","PAN-02","Inga densiflora","c","11"
"1202","SPD-02","Laetia procera","i","3"
"1203","PAN-02","Socratea exorrhiza",NA,"0"
"1204","WAY-01","Oreopanax microflorous","b","19"
"1205","SPD-01","Saurauia glabra",NA,"0"
"1206","SPD-02","Rollinia andicola","e","18"
"1207","PAN-02","Diplotropis martiusii","e","11"
"1208","PAN-02","Virola peruviana","d","15"
"1209","SPD-02","Solanum indet","h","2"
"1210","PAN-02","Triplaris americana","g","1"
"1211","PAN-02","Sloanea brevipes","d","42"
"1212","PAN-02","Miconia lourteigiana","d","88"
"1213","TAM-06","Trichilia pleeana","f","9"
"1214","TRU-04","Hieronyma indet","d","11"
"1215","SPD-01","Viburnum ayavacense","h","2"
"1216","SPD-02","Allophylus punctatus","i","2"
"1217","TAM-06","Rollinia indet","f","35"
"1218","TAM-06","Triplaris setosa","h","1"
"1219","PAN-02","Cedrela odorata","f","9"
"1220","SPD-01","Hedyosmum translucidum","b","18"
"1221","PAN-02","Neea divaricata","h","2"
"1222","TAM-06","Chrysophyllum pomiferum","d","18"
"1223","PAN-02","Cordia ucayaliensis","h","1"
"1224","SPD-01","Clethra obovata","d","33"
"1225","SPD-01","Hieronyma duquei","d","11"
"1226","WAY-01","Erythroxylum deciduum",NA,"0"
"1227","PAN-02","Qualea amoena","d","9"
"1228","TAM-06","Hasseltia floribunda","i","3"
"1229","SPD-01","Caryocar glabrum","c","6"
"1230","PAN-02","Pouteria eugeniifolia","d","32"
"1231","PAN-02","Ladenbergia oblongifolia","f","76"
"1232","WAY-01","Baccharis brachylaenoides","e","2"
"1233","TAM-05","Quararibea indet","e","12"
"1234","PAN-03","Leonia glycycarpa","b","12"
"1235","TAM-05","Inga auristellae","d","23"
"1236","PAN-02","Richeria indet","f","11"
"1237","ACJ-01","Oreopanax indet","d","19"
"1238","PAN-02","Mollinedia killipii","d","18"
"1239","PAN-02","Matisia malacocalyx","f","23"
"1240","SPD-01","Sapium glandulosum","d","10"
"1241","PAN-02","Protium plagiocarpium","d","12"
"1242","PAN-02","Sloanea rufa","d","42"
"1243","PAN-02","Guatteria guentheri","d","35"
"1244","PAN-03","Coussarea hirticalyx","e","27"
"1245","SPD-01","Cecropia membranacea","c","1"
"1246","TAM-05","Miconia bubalina","d","88"
"1247","PAN-02","Aparisthmium cordatum","e","35"
"1248","ESP-01","Cyathea delgadii","b","15"
"1249","TAM-05","Quiina florida","e","18"
"1250","PAN-02","Siparuna decipiens",NA,"0"
"1251","SPD-01","Clusia flaviflora","b","9"
"1252","TAM-05","Sloanea fragrans","d","42"
"1253","PAN-02","Sloanea pubescens","d","42"
"1254","PAN-02","Glycydendron amazonicum","e","35"
