"","Plot","Mean Lower","Mean Mean","Mean Upper","Variance Lower","Variance Mean","Variance Upper","Skewness Lower","Skewness Mean","Skewness Upper","Kurtosis Lower","Kurtosis Mean","Kurtosis Upper"
"1","SPD-01","0.481498309632153","0.482633578078833","0.483697242089415","0.000993373555087297","0.00106862077895963","0.00115070131226287","-0.799439724875869","-0.4870296633065","-0.100421187404462","6.27538271336665","7.16933046594707","8.99601303058992"
"2","TAM-06","0.469735381192106","0.4716730307522","0.473674006135374","0.00166779981798951","0.00187006705869962","0.00210799628338431","0.0825683334038726","0.497438730907642","0.910773646295171","3.72412088637835","5.43501637694818","7.61152437631007"
"3","ACJ-01","0.483205410326628","0.484634612502487","0.486071446924015","0.000783345321850439","0.000846240311504723","0.000912762579364589","-0.371093982968001","-0.225614763441735","-0.0870005580097801","2.28553279464779","2.5895399462262","3.04322031761886"
"4","ESP-01","0.492835576318454","0.493776028799768","0.494672891635336","0.000548686613961448","0.000603319981688207","0.000657161902725404","-0.831122477810595","-0.621963642391015","-0.41416595171687","3.77638615236935","4.28763018101313","5.14682105830512"
"5","PAN-02","0.492246480311267","0.49363122091165","0.495138837899915","0.00090599039312285","0.00100601241467352","0.00112668231407712","-0.50527089260211","-0.153636928448248","0.465274855369651","3.18754855359453","4.36130914946343","8.18418712623878"
"6","PAN-03","0.485777818120346","0.487370148172804","0.48910622120414","0.00104977225448689","0.00118680983086568","0.00134547850771099","-0.259358079000769","0.17851387549215","0.832586035836211","3.23367938605204","5.04064905267051","9.17322039309779"
"7","SPD-02","0.48481645444602","0.486293919707345","0.487855643218163","0.000955383168366283","0.00108413473818831","0.00123043812093261","-0.291761908757166","0.283355641207448","0.970101391962912","4.69248403945773","7.27729728745383","11.2889139528141"
"8","TRU-04","0.489141030603226","0.490148207346066","0.491063835883189","0.000703894872046143","0.000749501597942684","0.000796696997573964","-0.0393667986232185","0.0975179070639083","0.216878538768498","2.26017431322003","2.51700452573163","2.97699977862009"
"9","WAY-01","0.481350829795925","0.482499319592781","0.483624475451549","0.000622733450531441","0.00067026244906927","0.000718134736936321","-0.16904626935998","-0.013120821044412","0.13429748922554","2.83719770448016","3.14184548621216","3.58667681664154"
"10","TAM-05","0.481078738088469","0.483210453315227","0.48553411314576","0.00227281890214531","0.00258750043936165","0.00292458585514598","0.556859233946863","0.896511592128211","1.21546809156138","5.06999535668991","6.2315130379571","7.52450327033035"
