"","Plot","Mean Lower","Mean Mean","Mean Upper","Variance Lower","Variance Mean","Variance Upper","Skewness Lower","Skewness Mean","Skewness Upper","Kurtosis Lower","Kurtosis Mean","Kurtosis Upper"
"1","SPD-01","0.00137863925102963","0.00139607931942647","0.00141365191500121","3.47061003881829e-07","3.72851730078432e-07","4.00766523364951e-07","0.800526617231951","0.975913889762568","1.17103282100634","5.06045610962316","6.01743587245028","6.99057936824857"
"2","TAM-06","0.00130675896118228","0.00133335607807191","0.00136005156343169","6.86705694425883e-07","7.48332481837807e-07","8.12476966286052e-07","1.82305446308618","1.95502639469579","2.07483164314432","6.36181254003964","7.01876339130295","7.59855711415869"
"3","ACJ-01","0.00118118119113341","0.00121144772179596","0.0012441189314704","2.56689221726318e-07","3.03538261152577e-07","3.61317329607582e-07","1.33513395197986","1.8251512646364","2.31245585988116","5.98094157889427","9.37212942982663","12.8779893833265"
"4","ESP-01","0.00107827930736346","0.00109997505702217","0.00112100687260648","2.19439876949456e-07","2.53157286706234e-07","2.90586005457989e-07","1.1871663719258","1.5977137668042","2.07915180337717","4.93573582125293","7.67647508532542","11.3753149564852"
"5","PAN-02","0.00102707657236027","0.00105936979307456","0.00109343696439196","2.42020768206194e-07","2.98706487252484e-07","3.66753675747808e-07","1.29498410791655","1.9058053369709","2.49872111805268","5.59904091596813","9.88972778163299","14.5019754071472"
"6","PAN-03","0.00101860312976201","0.00104954818644318","0.00108082497047886","3.21752182088834e-07","3.9156431603476e-07","4.73869090451076e-07","1.28264081504442","1.76017736885654","2.19110223143624","4.94434408278451","8.05274589884092","10.9205290249482"
"7","SPD-02","0.00146351813544016","0.00148596123414745","0.00150977069509229","2.98813303863759e-07","3.29997007652458e-07","3.6595165113959e-07","0.593886726071405","0.846831489364705","1.14682289012211","3.67172725305226","4.74889972746048","6.37644793332399"
"8","TRU-04","0.0015457326214212","0.0015770895793267","0.00160900073867379","5.34882733301097e-07","5.90437872866858e-07","6.487333714695e-07","0.918661736450773","1.07271045117057","1.22444337418985","3.52392459724048","4.1423834470165","4.80317944620217"
"9","WAY-01","0.00116825165976445","0.0011916263177731","0.00121710474864785","2.49235419636858e-07","2.82453921617381e-07","3.19674784021166e-07","1.15502419912067","1.48114066445512","1.87365916591388","5.31007760601324","7.33597589926204","10.0494412135996"
"10","TAM-05","0.00093107560563531","0.000953160087095532","0.00097627060178078","2.3470478624954e-07","2.7087704287794e-07","3.10643780228308e-07","1.23276789169462","1.63016720681139","2.08488550074348","5.08354369368269","7.74290458003009","11.5115996940922"
