"","Plot","Mean Lower","Mean Mean","Mean Upper","Variance Lower","Variance Mean","Variance Upper","Skewness Lower","Skewness Mean","Skewness Upper","Kurtosis Lower","Kurtosis Mean","Kurtosis Upper"
"1","SPD-01","0.00138091979920673","0.00139931307437044","0.00141703593705839","3.63848551036138e-07","4.03105566408845e-07","4.49270525262841e-07","1.04551813171537","1.68192536718388","2.61098586249974","6.89085230432058","13.7139923357224","26.4876970482759"
"2","TAM-06","0.00130821529276738","0.00133566425208077","0.00136327101252979","6.94817766580612e-07","7.67787501638137e-07","8.46033547535734e-07","1.85912386494025","2.05130225341023","2.2966312551015","6.60186278882465","7.79632414168575","9.79778563679555"
"3","ACJ-01","0.00118184958547273","0.00121240554183679","0.00124511997545299","2.5694647723256e-07","3.12658349619193e-07","3.90906187855692e-07","1.33513395197986","2.06635199045266","3.46595032694553","5.97963511259808","12.4808357437282","31.4900737181379"
"4","ESP-01","0.00107853260269875","0.00110007961458388","0.00112139161861508","2.19439876949456e-07","2.54225725568449e-07","2.97090026129711e-07","1.1871663719258","1.63434079180628","2.38818951934608","4.93573582125293","8.16188644710522","16.3782359452303"
"5","PAN-02","0.00102700426976675","0.00106034401444527","0.00109573083949461","2.42020768206194e-07","3.10363009293567e-07","4.10821961691716e-07","1.29246813442742","2.19638518600373","4.18593054624436","5.59378386099578","13.8428660856157","39.1584170978817"
"6","PAN-03","0.00101869784860034","0.0010506111657339","0.00108380115689675","3.2285201858653e-07","4.03014108905345e-07","5.13912505114589e-07","1.27754602545683","1.95774091097031","3.217930170227","4.94210812002806","10.3764716609216","24.4161599521342"
"7","SPD-02","0.00146391152972956","0.00148616890888162","0.00151017434026942","2.98838052147401e-07","3.32176147307496e-07","3.79570234164066e-07","0.593128576508997","0.900066222064968","1.58514874437156","3.67172725305226","5.34665626311159","12.1810296492876"
"8","TRU-04","0.00154573064506325","0.00157744998493432","0.00160981882202858","5.35159753550565e-07","5.93195412621249e-07","6.53652412069522e-07","0.919053514849646","1.09737427517264","1.31631799833056","3.53016666311842","4.32665100091533","5.57057179090143"
"9","WAY-01","0.00116829198343318","0.00119167393322246","0.00121708048079236","2.49979862764533e-07","2.84135334083289e-07","3.24837064012507e-07","1.1476446261093","1.52181701181705","2.09542030827456","5.31068775842582","7.87786986104803","13.5776302259745"
"10","TAM-05","0.000931042998836856","0.000953196423524102","0.000976148457594676","2.3470478624954e-07","2.71659122910292e-07","3.14616473068082e-07","1.23276789169462","1.65154947868795","2.262104312886","5.08354369368269","8.02419263031165","13.8028123902568"
